University,Country,WorldRank,Latitude,Longitude,Type
University of Campinas,Brazil,301,-22.82,-47.06,Top 500
UNESP,Brazil,301,-22.13,-51.41,Top 500
Federal University of Rio de Janeiro,Brazil,301,-22.86,-43.22,Top 500
University of Guelph,Canada,301,43.53,-80.23,Top 500
University of Manitoba,Canada,301,49.81,-97.14,Top 500
University of Victoria,Canada,301,48.46,-123.31,Top 500
Simon Fraser University,Canada,301,49.28,-123.11,Top 500
University of Saskatchewan,Canada,301,52.13,-106.63,Top 500
Dalhousie University,Canada,301,44.64,-63.59,Top 500
University of Chile,Chile,301,-33.44,-70.65,Top 500
Shandong University,China,301,36.65,117.03,Top 500
Lanzhou University,China,301,36.05,103.86,Top 500
Wuhan University of Technology,China,301,30.6,114.34,Top 500
Nanjing Agricultural University,China,301,32.03,118.84,Top 500
Nankai University,China,301,39.1,117.17,Top 500
Tongji University,China,301,31.29,121.5,Top 500
China Agricultural University,China,301,40,116.35,Top 500
Nanjing University of Science and Technology,China,301,32.04,118.86,Top 500
Northwestern Polytechnical University,China,301,34.25,108.91,Top 500
East China University of Science and Technology,China,301,31.14,121.43,Top 500
Hunan University,China,301,28.18,112.94,Top 500
Xiamen University,China,301,24.44,118.1,Top 500
University of Southern Denmark,Denmark,301,55.369,10.4282,Top 500
University of Tartu,Estonia,301,58.3811,26.7199,Top 500
Aalto University,Finland,301,24.8277,24.8277,Top 500
University of Turku,Finland,301,60.4563,22.2851,Top 500
University of Duisburg-Essen,Finland,301,51.4277,6.801,Top 500
Paris Dauphine University (Paris 9),France,301,48.8701,2.2736,Top 500
ESPCI ParisTech,France,301,48.8415,2.3469,Top 500
Ecole Normale Superieure - Lyon,France,301,48.8422,2.3452,Top 500
University of Bochum,Germany,301,51.4457,7.2616,Top 500
University of Duesseldorf,Germany,301,51.1913,6.7941,Top 500
University of Duisburg-Essen,Germany,301,51.4277,6.801,Top 500
Hannover Medical School,Germany,301,52.3816,9.8097,Top 500
University of Jena,Germany,301,50.9294,11.5897,Top 500
