University,Country,WorldRank,Latitude,Longitude,Type
Kyoto University,Japan,35,35.03,135.78,Top 100
The University of Manchester,United Kingdom,34,53.47,-2.23,Top 100
The University of Edinburgh,United Kingdom,32,55.94,-3.19,Top 100
New York University,United States,32,40.73,-74,Top 100
Rockefeller University,United States,30,40.76,-73.96,Top 100
University of North Carolina at Chapel Hill,United States,30,35.9,-79.05,Top 100
University of Copenhagen,Denmark,29,55.6802,12.5724,Top 100
University of Wisconsin - Madison,United States,28,43.08,-89.41,Top 100
University of Michigan-Ann Arbor,United States,27,42.28,-83.74,Top 100
Duke University,United States,26,36,-78.94,Top 100
Northwestern University,United States,25,22.78,-89.55,Top 100
Imperial College London,United Kingdom,24,51.5,-0.17,Top 100
University of Toronto,Canada,23,43.66,-79.4,Top 100
The University of Tokyo,Japan,22,35.71,139.76,Top 100
"University of California, San Francisco",United States,21,37.87,-122.26,Top 100
Washington University in St. Louis,United States,20,38.65,-90.31,Top 100
Swiss Federal Institute of Technology Zurich,Switzerland,19,47.38,8.55,Top 100
Johns Hopkins University,United States,18,39.33,-76.62,Top 100
University College London,United Kingdom,17,51.52,-0.13,Top 100
University of Pennsylvania,United States,16,39.95,-75.19,Top 100
"University of California, San Diego",United States,15,32.88,-117.23,Top 100
University of Washington,United States,14,47.24,-122.55,Top 100
Cornell University,United States,12,42.45,-76.47,Top 100
Yale University,United States,12,41.32,-72.92,Top 100
"University of California, Los Angeles",United States,11,34.07,-118.45,Top 100
University of Chicago,United States,10,41.79,-87.6,Top 10
California Institute of Technology,United States,9,34.14,-118.13,Top 10
Columbia University,United States,8,40.81,-73.96,Top 10
University of Oxford,United Kingdom,7,51.75,-1.25,Top 10
Princeton University,United States,6,40.34,-74.66,Top 10
"University of California, Berkeley",United States,5,37.87,-122.26,Top 10
Massachusetts Institute of Technology,United States,4,42.36,-71.09,Top 10
University of Cambridge,United Kingdom,3,52.2,0.11,Top 10
Stanford University,United States,2,37.43,-122.17,Top 10
Harvard University,United States,1,42.38,-71.12,Top 10
