University,WorldRank,Year,Country
University of Basel,87,2015,Switzerland
Indiana University Bloomington,87,2005,United States
The Hebrew University of Jerusalem,87,2016,Israel
University of Utah,87,2014,United States
Texas A&M University - College Station,88,2009,United States
The University of Sheffield,88,2010,United Kingdom
The University of Western Australia,88,2014,Australia
Arizona State University,88,2014,United States
Leiden University,88,2017,Netherlands
University of Florida,88,2017,United States
Texas A&M University - College Station,88,2006,United States
Texas A&M University - College Station,88,2008,United States
Stockholm University,88,2009,Sweden
McMaster University,88,2010,Canada
Texas A&M University - College Station,89,2005,United States
McMaster University,89,2008,Canada
Ghent University,89,2012,Belgium
Ghent University,89,2011,Belgium
McMaster University,89,2011,Canada
Tokyo Institute of Technology,89,2006,Japan
University of Basel,89,2011,Switzerland
University of Birmingham,90,2006,United Kingdom
Indiana University Bloomington,90,2007,United States
University of Goettingen,90,2009,Germany
"University of Pittsburgh, Pittsburgh Campus",90,2018,United States
University of Freiburg,90,2005,Germany
Indiana University Bloomington,90,2010,United States
KU Leuven,90,2017,Belgium
KU Leuven,90,2015,Belgium
McMaster University,90,2006,Canada
McMaster University,90,2014,Canada
Lund University,90,2006,Sweden
University of Rochester,90,2014,United States
McMaster University,90,2005,Canada
University of Basel,90,2014,Switzerland
Brown University,90,2016,United States
The University of Queensland,90,2012,Australia
University of Arizona,90,2015,United States
University of Goettingen,90,2008,Germany
Ghent University,90,2010,Belgium
University of Rochester,90,2013,United States
University of Florida,90,2016,United States
Monash University,91,2018,Australia
National University of Singapore,91,2017,Singapore
McMaster University,91,2009,Canada
Carnegie Mellon University,91,2018,United States
University of Birmingham,91,2008,United Kingdom
University of Virginia,91,2009,United States
The University of Western Australia,91,2013,Australia
Texas A&M University - College Station,91,2007,United States
The University of Western Australia,91,2017,Australia
Rice University,91,2012,United States
McMaster University,92,2013,Canada
University of Warwick,92,2015,United Kingdom
Michigan State University,92,2011,United States
McMaster University,92,2012,Canada
Indiana University Bloomington,92,2008,United States
Michigan State University,92,2013,United States
University of Groningen,92,2013,Netherlands
Rice University,92,2013,United States
University of Strasbourg,92,2005,France
Weizmann Institute of Science,92,2013,Israel
University of Sydney,92,2010,Australia
Swiss Federal Institute of Technology Lausanne,92,2016,Switzerland
University of Birmingham,92,2007,United Kingdom
Rice University,93,2011,United States
"University of California, Santa Cruz",93,2015,United States
Aarhus University,93,2008,Denmark
Arizona State University,93,2015,United States
Technion-Israel Institute of Technology,93,2017,Israel
Weizmann Institute of Science,93,2012,Israel
Moscow State University,93,2017,Russian Federation
KU Leuven,93,2016,Belgium
Arizona State University - Tempe,93,2008,United States
University of Utah,93,2015,United States
Texas A&M University - College Station,93,2012,United States
University of Goettingen,93,2010,Germany
Georgia Institute of Technology,93,2016,United States
Tokyo Institute of Technology,93,2005,Japan
Indiana University Bloomington,93,2009,United States
Ecole Normale Superieure - Paris,93,2005,France
University of Bonn,93,2010,Germany
University of Utah,93,2005,United States
University of Utah,93,2007,United States
University of Freiburg,93,2006,Germany
The University of Western Australia,93,2018,Australia
Stockholm University,93,2005,Sweden
"University of California, Santa Cruz",93,2014,United States
University of Sydney,93,2012,Australia
Leiden University,93,2016,Netherlands
University of Bonn,94,2014,Germany
University of Birmingham,94,2009,United Kingdom
Arizona State University - Tempe,94,2009,United States
Nagoya University,94,2007,Japan
Nagoya University,94,2011,Japan
University of Sydney,94,2009,Australia
University of Freiburg,94,2007,Germany
The Ohio State University - Columbus,94,2018,United States
University of Utah,94,2006,United States
University of Bonn,94,2011,Germany
University of Virginia,95,2008,United States
University of Goettingen,95,2017,Germany
The Hebrew University of Jerusalem,95,2018,Israel
University of Basel,95,2017,Switzerland
University of Iowa,95,2006,United States
University of Strasbourg,95,2014,France
Texas A&M University - College Station,95,2010,United States
The University of Texas M. D. Anderson Cancer Center,96,2016,United States
University of Basel,96,2018,Switzerland
Arizona State University - Tempe,96,2007,United States
Texas A & M University,96,2014,United States
University of Freiburg,96,2008,Germany
The University of Western Australia,96,2016,Australia
KU Leuven,96,2014,Belgium
University of Virginia,96,2010,United States
Nanyang Technological University,96,2018,Singapore
"Rutgers, The State University of New Jersey - New Brunswick",96,2016,United States
Michigan State University,96,2012,United States
The University of Western Australia,96,2012,Australia
McMaster University,96,2015,Canada
"University of California, Davis",96,2018,United States
Osaka University,96,2016,Japan
University of Strasbourg,96,2006,France
University of Sydney,96,2011,Australia
Swiss Federal Institute of Technology Lausanne,96,2014,Switzerland
Nagoya University,96,2012,Japan
Case Western Reserve University,97,2011,United States
Lund University,97,2007,Sweden
University of Iowa,97,2007,United States
University of Strasbourg,97,2013,France
Indiana University Bloomington,97,2006,United States
University of Roma - La Sapienza,97,2005,Italy
University of Bonn,97,2015,Germany
University of Bonn,97,2008,Germany
Lund University,97,2008,Sweden
Aarhus University,97,2009,Denmark
Rice University,97,2008,United States
University of Sydney,97,2008,Australia
Case Western Reserve University,97,2010,United States
University of Sydney,97,2013,Australia
The Australian National University,97,2017,Australia
Tohoku University,97,2011,Japan
The University of Sheffield,97,2011,United Kingdom
Nagoya University,98,2006,Japan
University of Bonn,98,2009,Germany
Aarhus University,98,2010,Denmark
University of Birmingham,98,2005,United Kingdom
VU University Amsterdam,98,2015,Netherlands
"University of California, Santa Cruz",98,2017,United States
University of Bonn,99,2007,Germany
Rice University,99,2010,United States
University of Goettingen,99,2018,Germany
University of Birmingham,99,2010,United Kingdom
Tokyo Institute of Technology,99,2007,Japan
Rice University,99,2009,United States
University of Strasbourg,99,2007,France
Georgia Institute of Technology,99,2014,United States
Cardiff University,99,2017,United Kingdom
University of Arizona,99,2017,United States
Ecole Normale Superieure - Paris,99,2006,France
Michigan State University,99,2015,United States
University of Freiburg,99,2012,Germany
Lund University,99,2005,Sweden
Case Western Reserve University,99,2013,United States
Case Western Reserve University,99,2012,United States
Tufts University,100,2005,United States
University of Freiburg,100,2013,Germany
Texas A&M University,100,2015,United States
Emory University,100,2009,United States
University of Roma - La Sapienza,100,2006,Italy
Texas A&M University - College Station,100,2011,United States
University of Utah,100,2016,United States
VU University Amsterdam,100,2014,Netherlands
Arizona State University - Tempe,100,2006,United States
University of Frankfurt,100,2011,Germany
The University of Texas M. D. Anderson Cancer Center,100,2018,United States
The University of Glasgow,101,2008,United Kingdom
National University of Singapore,101,2008,Singapore
University of Montreal,101,2008,Canada
Cardiff University,101,2016,United Kingdom
National Taiwan University,101,2013,"Taiwan, China"
"Rutgers, The State University of New Jersey - New Brunswick",101,2018,United States
The University of Sheffield,101,2013,United Kingdom
Norwegian University of Science and Technology - NTNU,101,2016,Norway
The University of Adelaide,101,2016,Australia
The University of Hong Kong,101,2018,China
The University of New South Wales,101,2018,Australia
University of Bern,101,2018,Switzerland
University of Birmingham,101,2013,United Kingdom
University of New South Wales,101,2013,Australia
University of Roma - La Sapienza,101,2013,Italy
University Libre Bruxelles,101,2010,Belgium
The University of Queensland,101,2010,Australia
University of Tuebingen,101,2010,Germany
"University of California, Santa Cruz",101,2010,United States
Seoul National University,101,2015,"Korea, Republic of"
Mayo Medical School,101,2014,United States
Emory University,101,2014,United States
University of Leeds,101,2014,United Kingdom
University of Pisa,101,2005,Italy
University of Wuerzburg,101,2005,Germany
"University of California, Santa Cruz",101,2005,United States
University of Wuerzburg,101,2008,Germany
Technion-Israel Institute of Technology,101,2009,Israel
University of Leeds,101,2010,United Kingdom
Mayo Medical School,101,2015,United States
Tufts University,101,2015,United States
Nagoya University,101,2014,Japan
University of Amsterdam,101,2014,Netherlands
University of Alberta,101,2010,Canada
Lund University,101,2012,Sweden
University of Pisa,101,2012,Italy
King Abdulaziz University,101,2016,Saudi Arabia
Nanyang Technological University,101,2017,Singapore
Michigan State University,101,2018,United States
The University of Glasgow,101,2017,United Kingdom
The University of Hong Kong,101,2017,China
Tohoku University,101,2017,Japan
University of Goettingen,101,2013,Germany
University of Warwick,101,2018,United Kingdom
University Paris Diderot - Paris 7,101,2016,France
National University of Singapore,101,2005,Singapore
University of Alberta,101,2008,Canada
University of Pisa,101,2008,Italy
University of Freiburg,101,2009,Germany
Aix Marseille University,101,2012,France
Michigan State University,101,2016,United States
Tohoku University,101,2018,Japan
"University of California, Riverside",101,2013,United States
University of Liverpool,101,2013,United Kingdom
University of Muenster,101,2016,Germany
University of Goettingen,101,2015,Germany
The University of Georgia,101,2010,United States
University of Groningen,101,2010,Netherlands
Tokyo Institute of Technology,101,2010,Japan
Emory University,101,2015,United States
University of Liverpool,101,2015,United Kingdom
University of Frankfurt,101,2015,Germany
Technical University of Denmark,101,2015,Denmark
University of Massachusetts Amherst,101,2015,United States
University of Montreal,101,2014,Canada
University of Massachusetts Medical School - Worcester,101,2014,United States
University of Birmingham,101,2014,United Kingdom
University of Virginia,101,2014,United States
University of Massachusetts Amherst,101,2014,United States
Catholic University of Louvain,101,2012,Belgium
London School of Economics and Political Science,101,2012,United Kingdom
National Taiwan University,101,2012,"Taiwan, China"
King Abdulaziz University,101,2017,Saudi Arabia
Case Western Reserve University,101,2018,United States
Norwegian University of Science and Technology - NTNU,101,2017,Norway
Norwegian University of Science and Technology - NTNU,101,2018,Norway
University Libre Bruxelles,101,2013,Belgium
University of Alberta,101,2013,Canada
The University of Sheffield,101,2016,United Kingdom
University of Wageningen,101,2018,Netherlands
University of Geneva,101,2005,Switzerland
University of Iowa,101,2005,United States
The University of Georgia,101,2005,United States
The University of Glasgow,101,2005,United Kingdom
The University of Georgia,101,2008,United States
Catholic University of Leuven,101,2008,Belgium
University of Montreal,101,2009,Canada
Arizona State University - Tempe,101,2005,United States
University of Sussex,101,2005,United Kingdom
University of Illinois at Chicago,101,2008,United States
Kyushu University,101,2008,Japan
University of Massachusetts Medical School - Worcester,101,2008,United States
Tokyo Institute of Technology,101,2008,Japan
Ghent University,101,2008,Belgium
University of Wageningen,101,2009,Netherlands
North Carolina State University - Raleigh,101,2009,United States
Zhejiang University,101,2015,China
University of Miami,101,2010,United States
National Taiwan University,101,2014,"Taiwan, China"
Tel Aviv University,101,2010,Israel
Lund University,101,2017,Sweden
Hokkaido University,101,2013,Japan
The University of Texas M. D. Anderson Cancer Center,101,2017,United States
University of Amsterdam,101,2017,Netherlands
University of Leeds,101,2017,United Kingdom
University of Massachusetts Amherst,101,2013,United States
University of Leeds,101,2016,United Kingdom
University of Montreal,101,2013,Canada
College of France,101,2005,France
Technion-Israel Institute of Technology,101,2005,Israel
University of Massachusetts Amherst,101,2005,United States
North Carolina State University - Raleigh,101,2008,United States
University of Geneva,101,2008,Switzerland
University Libre Bruxelles,101,2008,Belgium
Tel Aviv University,101,2008,Israel
University of Paris Diderot (Paris 7),101,2008,France
University of Tuebingen,101,2009,Germany
University of Mainz,101,2009,Germany
The University of New South Wales,101,2014,Australia
University of Birmingham,101,2015,United Kingdom
The University of Sheffield,101,2015,United Kingdom
The University of Glasgow,101,2014,United Kingdom
Radboud University Nijmegen,101,2014,Netherlands
University of Goettingen,101,2014,Germany
Seoul National University,101,2005,"Korea, Republic of"
VU University Amsterdam,101,2008,Netherlands
Dartmouth College,101,2008,United States
Tufts University,101,2009,United States
Georgia Institute of Technology,101,2012,United States
Swiss Federal Institute of Technology of Lausanne,101,2012,Switzerland
The University of Sheffield,101,2017,United Kingdom
University of Basel,101,2016,Switzerland
University of Frankfurt,101,2016,Germany
University of Southampton,101,2018,United Kingdom
University of Science and Technology of China,101,2016,China
University of Amsterdam,101,2010,Netherlands
University of Roma - La Sapienza,101,2010,Italy
Monash University,101,2014,Australia
"University of California, Riverside",101,2015,United States
University of Montreal,101,2015,Canada
Aarhus University,101,2005,Denmark
University of Virginia,101,2005,United States
Nagoya University,101,2008,Japan
Baylor College of Medicine,101,2008,United States
VU University Amsterdam,101,2010,Netherlands
"University of California, Santa Cruz",101,2012,United States
Radboud University Nijmegen,101,2013,Netherlands
University of Amsterdam,101,2013,Netherlands
University of Nottingham,101,2016,United Kingdom
Universit? libre de Bruxelles (ULB),101,2015,
University of Sussex,101,2008,United Kingdom
University of Massachusetts Medical School - Worcester,101,2009,United States
"University of California, Riverside",101,2009,United States
University of Alberta,101,2014,Canada
The University of Georgia,101,2012,United States
The University of Sheffield,101,2012,United Kingdom
University of Muenster,101,2012,Germany
University of Virginia,101,2012,United States
Aix Marseille University,101,2017,France
King Saud University,101,2018,Saudi Arabia
Seoul National University,101,2018,"Korea, Republic of"
Shanghai Jiao Tong University,101,2018,China
University of Leeds,101,2018,United Kingdom
University of Strasbourg,101,2018,France
Catholic University of Louvain,101,2014,Belgium
University of Amsterdam,101,2009,Netherlands
University of Pisa,101,2009,Italy
"University of California, Santa Cruz",101,2009,United States
University of Milan,101,2010,Italy
Joseph Fourier University (Grenoble 1),101,2012,France
University of Groningen,101,2012,Netherlands
VU University Amsterdam,101,2012,Netherlands
Aix Marseille University,101,2018,France
Brown University,101,2018,United States
Indiana University Bloomington,101,2016,United States
University of Amsterdam,101,2016,Netherlands
University of Liverpool,101,2018,United Kingdom
University of Iowa,101,2013,United States
University of Nottingham,101,2018,United Kingdom
Weizmann Institute of Science,101,2018,Israel
University of Frankfurt,101,2010,Germany
The University of Texas M. D. Anderson Cancer Center,101,2014,United States
Tufts University,101,2014,United States
The University of Texas M. D. Anderson Cancer Center,101,2015,United States
Peking University,101,2015,China
University of Bonn,101,2005,Germany
Ghent University,101,2005,Belgium
University of Mainz,101,2008,Germany
Emory University,101,2008,United States
University of Alberta,101,2009,Canada
Nagoya University,101,2005,Japan
University of Amsterdam,101,2005,Netherlands
University of Frankfurt,101,2008,Germany
The University of Western Australia,101,2009,Australia
University of Leeds,101,2009,United Kingdom
University of Sussex,101,2010,United Kingdom
University of Paris Diderot (Paris 7),101,2010,France
Swiss Federal Institute of Technology Lausanne,101,2015,Switzerland
University of Frankfurt,101,2014,Germany
The University of Sheffield,101,2014,United Kingdom
Technical University of Denmark,101,2014,Denmark
National University of Singapore,101,2012,Singapore
Icahn School of Medicine at Mount Sinai,101,2017,United States
University of Sao Paulo,101,2016,Brazil
University of Southampton,101,2016,United Kingdom
Emory University,101,2012,United States
University of Alberta,101,2012,Canada
Brown University,101,2017,United States
Case Western Reserve University,101,2016,United States
Shanghai Jiao Tong University,101,2017,China
Osaka University,101,2018,Japan
Tel Aviv University,101,2013,Israel
Seoul National University,101,2016,"Korea, Republic of"
Shanghai Jiao Tong University,101,2016,China
University of Alberta,101,2016,Canada
University of Goettingen,101,2016,Germany
University of Southampton,101,2017,United Kingdom
University of Strasbourg,101,2017,France
University of Montreal,101,2018,Canada
Oregon State University,101,2005,United States
"University of California, Riverside",101,2005,United States
University of Muenster,101,2009,Germany
University of Groningen,101,2009,Netherlands
Tufts University,101,2010,United States
Catholic University of Leuven,101,2010,Belgium
Emory University,101,2010,United States
Technion-Israel Institute of Technology,101,2010,Israel
"University of California, Riverside",101,2010,United States
University of Nottingham,101,2014,United Kingdom
Weizmann Institute of Science,101,2014,Israel
University of Leeds,101,2015,United Kingdom
Case Western Reserve University,101,2017,United States
The University of Hong Kong,101,2018,"Hong Kong, China"
University of Alberta,101,2018,Canada
Tufts University,101,2016,United States
University of Liverpool,101,2017,United Kingdom
University of Liverpool,101,2016,United Kingdom
University of Rochester,101,2016,United States
University of Strasbourg,101,2016,France
Lund University,101,2015,Sweden
University of Massachusetts Medical School - Worcester,101,2015,United States
University of Virginia,101,2015,United States
Icahn School of Medicine at Mount Sinai,101,2015,United States
University of Muenster,101,2010,Germany
University of Hawaii at Manoa,101,2010,United States
Baylor College of Medicine,101,2012,United States
Mayo Medical School,101,2012,United States
Tel Aviv University,101,2012,Israel
University of Goettingen,101,2012,Germany
University of Roma - La Sapienza,101,2012,Italy
University of Sussex,101,2012,United Kingdom
Emory University,101,2017,United States
Monash University,101,2013,Australia
Lund University,101,2016,Sweden
Radboud University Nijmegen,101,2017,Netherlands
University of Amsterdam,101,2018,Netherlands
Tohoku University,101,2016,Japan
University of Wageningen,101,2016,Netherlands
Baylor College of Medicine,101,2005,United States
State University of New York at Stony Brook,101,2005,United States
Technion-Israel Institute of Technology,101,2008,Israel
"University of California, Santa Cruz",101,2008,United States
Tufts University,101,2008,United States
Catholic University of Leuven,101,2009,Belgium
University of Amsterdam,101,2012,Netherlands
Arizona State University,101,2018,United States
Emory University,101,2016,United States
King Saud University,101,2016,Saudi Arabia
The Hebrew University of Jerusalem,101,2017,Israel
University of Bonn,101,2017,Germany
University Paris Diderot - Paris 7,101,2018,France
University of Tuebingen,101,2005,Germany
University of Sao Paulo,101,2005,Brazil
University of Milan,101,2005,Italy
University of Liverpool,101,2008,United Kingdom
Mayo Medical School,101,2009,United States
University of Iowa,101,2009,United States
University of Liverpool,101,2009,United Kingdom
University of Strasbourg,101,2009,France
Catholic University of Leuven,101,2005,Belgium
The University of Queensland,101,2005,Australia
University of Sao Paulo,101,2015,Brazil
University of Liverpool,101,2010,United Kingdom
Mayo Medical School,101,2010,United States
Baylor College of Medicine,101,2014,United States
Peking University,101,2014,China
Indiana University Bloomington,101,2014,United States
Norwegian University of Science and Technology - NTNU,101,2015,Norway
University of Iowa,101,2012,United States
Nanyang Technological University,101,2016,Singapore
University of Arizona,101,2018,United States
Tufts University,101,2013,United States
University of Lausanne,101,2018,Switzerland
University of Science and Technology of China,101,2017,China
Catholic University of Leuven,101,2012,Belgium
University of New South Wales,101,2012,Australia
University of Paris Diderot (Paris 7),101,2012,France
Catholic University of Louvain,101,2013,Belgium
National University of Singapore,101,2013,Singapore
University of Nottingham,101,2017,United Kingdom
University of Rochester,101,2017,United States
Georgia Institute of Technology,101,2005,United States
University of Amsterdam,101,2008,Netherlands
Catholic University of Louvain,101,2008,Belgium
Lund University,101,2009,Sweden
University of Milan,101,2009,Italy
University of Sao Paulo,101,2009,Brazil
University of Geneva,101,2009,Switzerland
Cardiff University,101,2018,United Kingdom
Arizona State University,101,2016,United States
Emory University,101,2018,United States
King Abdulaziz University,101,2018,Saudi Arabia
Georgia Institute of Technology,101,2013,United States
Fudan University,101,2016,China
The University of Georgia,101,2013,United States
University of Massachusetts Medical School - Worcester,101,2013,United States
University of Birmingham,101,2016,United Kingdom
VU University Amsterdam,101,2016,Netherlands
University of Freiburg,101,2014,Germany
London School of Economics and Political Science,101,2014,United Kingdom
Case Western Reserve University,101,2014,United States
University of Liverpool,101,2014,United Kingdom
University of Sao Paulo,101,2014,Brazil
Tsinghua University,101,2015,China
Weizmann Institute of Science,101,2015,Israel
Radboud University Nijmegen,101,2015,Netherlands
University of Rochester,101,2015,United States
University of Wuerzburg,101,2009,Germany
Swiss Federal Institute of Technology of Lausanne,101,2010,Switzerland
Tel Aviv University,101,2009,Israel
Georgia Institute of Technology,101,2009,United States
The University of Georgia,101,2009,United States
Cardiff University,101,2014,United Kingdom
Hokkaido University,101,2014,Japan
Shanghai Jiao Tong University,101,2014,China
Tohoku University,101,2014,Japan
Joseph Fourier University (Grenoble 1),101,2014,France
Michigan State University,101,2014,United States
National Taiwan University,101,2010,"Taiwan, China"
University of Massachusetts Amherst,101,2010,United States
The University of Western Australia,101,2010,Australia
The University of Queensland,101,2008,Australia
"University of California, Riverside",101,2008,United States
University of Massachusetts Amherst,101,2008,United States
The University of Glasgow,101,2009,United Kingdom
Seoul National University,101,2012,"Korea, Republic of"
University of Massachusetts Amherst,101,2012,United States
Emory University,101,2013,United States
Nagoya University,101,2013,Japan
Erasmus University Rotterdam,101,2016,Netherlands
Texas A&M University,101,2017,United States
The University of Adelaide,101,2018,Australia
University of Arizona,101,2016,United States
University of Muenster,101,2013,Germany
University of Paris Diderot (Paris 7),101,2013,France
University Paris Diderot - Paris 7,101,2015,France
Aix Marseille University,101,2015,France
London School of Economics and Political Science,101,2015,United Kingdom
University of Hamburg,101,2005,Germany
University of Liverpool,101,2005,United Kingdom
University of Groningen,101,2005,Netherlands
University of Muenster,101,2005,Germany
University of Tuebingen,101,2008,Germany
University of Groningen,101,2008,Netherlands
Mayo Medical School,101,2008,United States
Swiss Federal Institute of Technology of Lausanne,101,2009,Switzerland
National University of Singapore,101,2009,Singapore
Hokkaido University,101,2012,Japan
Tokyo Institute of Technology,101,2012,Japan
University of Bonn,101,2012,Germany
University of Wageningen,101,2012,Netherlands
Texas A&M University,101,2016,United States
Tokyo Institute of Technology,101,2013,Japan
University of Bonn,101,2013,Germany
University of Pisa,101,2013,Italy
University of Sao Paulo,101,2013,Brazil
University of Muenster,101,2015,Germany
Seoul National University,101,2010,"Korea, Republic of"
University of Pisa,101,2010,Italy
University of Iowa,101,2010,United States
Weizmann Institute of Science,101,2010,Israel
University of Miami,101,2005,United States
Weizmann Institute of Science,101,2005,Israel
University of Iowa,101,2008,United States
University of Muenster,101,2008,Germany
University of Massachusetts Amherst,101,2009,United States
University of Frankfurt,101,2009,Germany
Monash University,101,2012,Australia
Tufts University,101,2012,United States
University of Hawaii at Manoa,101,2012,United States
University of Liverpool,101,2012,United Kingdom
University of Massachusetts Medical School - Worcester,101,2012,United States
Arizona State University,101,2017,United States
Michigan State University,101,2017,United States
Sun Yat-sen University,101,2018,"Taiwan, China"
Texas A&M University - College Station,101,2013,United States
The University of Hong Kong,101,2016,China
University of Freiburg,101,2017,Germany
University of Bern,101,2016,Switzerland
University of Utah,101,2017,United States
University Paris Diderot - Paris 7,101,2017,France
University of Science and Technology of China,101,2018,China
University of Wageningen,101,2013,Netherlands
National University of Singapore,101,2010,Singapore
University of Strasbourg,101,2010,France
North Carolina State University - Raleigh,101,2010,United States
Tsinghua University,101,2014,China
University of Freiburg,101,2015,Germany
University of Leeds,101,2005,United Kingdom
Emory University,101,2005,United States
Hokkaido University,101,2005,Japan
University of Alberta,101,2005,Canada
University of Roma - La Sapienza,101,2009,Italy
Tohoku University,101,2012,Japan
Baylor College of Medicine,101,2017,United States
Catholic University of Leuven,101,2013,Belgium
Fudan University,101,2017,China
King Saud University,101,2017,Saudi Arabia
The University of Adelaide,101,2017,Australia
Radboud University Nijmegen,101,2018,Netherlands
University of Birmingham,101,2017,United Kingdom
University of Frankfurt,101,2018,Germany
University of Freiburg,101,2018,Germany
University of Bonn,101,2016,Germany
University of Virginia,101,2013,United States
University of Wageningen,101,2014,Netherlands
The University of Glasgow,101,2015,United Kingdom
Baylor College of Medicine,101,2015,United States
University of Sydney,101,2015,Australia
National University of Singapore,101,2015,Singapore
University of Sydney,101,2005,Australia
National Taiwan University,101,2009,"Taiwan, China"
The University of Queensland,101,2009,Australia
University of Hawaii at Manoa,101,2009,United States
Catholic University of Louvain,101,2017,Belgium
Joseph Fourier University (Grenoble 1),101,2013,France
Icahn School of Medicine at Mount Sinai,101,2016,United States
Oregon State University,101,2013,United States
Radboud University Nijmegen,101,2016,Netherlands
University of Birmingham,101,2018,United Kingdom
University of Frankfurt,101,2013,Germany
VU University Amsterdam,101,2013,Netherlands
"University of California, Riverside",101,2014,United States
The University of New South Wales,101,2015,Australia
University of Montreal,101,2010,Canada
University of Geneva,101,2010,Switzerland
Baylor College of Medicine,101,2010,United States
University of Wuerzburg,101,2010,Germany
Catholic University of Louvain,101,2010,Belgium
Georgia Institute of Technology,101,2010,United States
University of Delaware,101,2012,United States
University of Strasbourg,101,2012,France
Baylor College of Medicine,101,2016,United States
Indiana University Bloomington,101,2017,United States
Lund University,101,2013,Sweden
Osaka University,101,2017,Japan
The University of New South Wales,101,2017,Australia
"University of California, Santa Cruz",101,2013,United States
University of Utah,101,2018,United States
University of Sussex,101,2013,United Kingdom
University of Tsukuba,101,2005,Japan
Tel Aviv University,101,2005,Israel
North Carolina State University - Raleigh,101,2005,United States
Mayo Medical School,101,2005,United States
University Libre Bruxelles,101,2005,Belgium
University of Milan,101,2008,Italy
University of Hawaii at Manoa,101,2008,United States
University of Sussex,101,2009,United Kingdom
National University of Singapore,101,2014,Singapore
Aix Marseille University,101,2014,France
Indiana University Bloomington,101,2015,United States
University of Nottingham,101,2015,United Kingdom
University of Alberta,101,2015,Canada
Georgia Institute of Technology,101,2015,United States
Monash University,101,2015,Australia
"University of California, Riverside",101,2012,United States
Fudan University,101,2018,China
Swiss Federal Institute of Technology of Lausanne,101,2013,Switzerland
University of Alberta,101,2017,Canada
The University of Hong Kong,101,2016,"Hong Kong, China"
The University of New South Wales,101,2016,Australia
Zhejiang University,101,2017,China
Zhejiang University,101,2016,China
University of Illinois at Chicago,101,2005,United States
Cardiff University,101,2008,United Kingdom
Swiss Federal Institute of Technology of Lausanne,101,2008,Switzerland
University of Miami,101,2009,United States
VU University Amsterdam,101,2009,Netherlands
University of Sao Paulo,101,2012,Brazil
Tohoku University,101,2013,Japan
University of Bonn,101,2018,Germany
University of Freiburg,101,2016,Germany
University of Strasbourg,101,2008,France
Georgia Institute of Technology,101,2008,United States
University Libre Bruxelles,101,2009,Belgium
Ghent University,101,2009,Belgium
University of Sao Paulo,101,2010,Brazil
Lund University,101,2010,Sweden
Catholic University of Louvain,101,2005,Belgium
University of Roma - La Sapienza,101,2008,Italy
University of Sao Paulo,101,2008,Brazil
University of Leeds,101,2008,United Kingdom
Shanghai Jiao Tong University,101,2015,China
University of Southampton,101,2014,United Kingdom
University Paris Diderot - Paris 7,101,2014,France
University of Sydney,101,2014,Australia
Baylor College of Medicine,101,2018,United States
Baylor College of Medicine,101,2013,United States
Indiana University Bloomington,101,2018,United States
Mayo Medical School,101,2013,United States
Seoul National University,101,2017,"Korea, Republic of"
Seoul National University,101,2013,"Korea, Republic of"
University of Bern,101,2017,Switzerland
The University of Sheffield,101,2018,United Kingdom
University of Frankfurt,101,2017,Germany
University of Gothenburg,101,2018,Sweden
Weizmann Institute of Science,101,2017,Israel
Weizmann Institute of Science,101,2016,Israel
University of Freiburg,101,2010,Germany
University of Massachusetts Medical School - Worcester,101,2010,United States
University of Wageningen,101,2010,Netherlands
Kyushu University,101,2005,Japan
University of Hawaii at Manoa,101,2005,United States
Oregon State University,101,2008,United States
The University of Western Australia,101,2008,Australia
Dartmouth College,101,2009,United States
Catholic University of Louvain,101,2009,Belgium
University Libre Bruxelles,101,2014,Belgium
Tohoku University,101,2015,Japan
University of Amsterdam,101,2015,Netherlands
University of Southampton,101,2015,United Kingdom
Seoul National University,101,2014,"Korea, Republic of"
Lund University,101,2014,Sweden
Case Western Reserve University,101,2015,United States
University of Wageningen,101,2015,Netherlands
Oregon State University,101,2010,United States
University of Frankfurt,101,2005,Germany
Dartmouth College,101,2005,United States
Baylor College of Medicine,101,2009,United States
Tokyo Institute of Technology,101,2009,Japan
University of Paris Diderot (Paris 7),101,2009,France
Oregon State University,101,2009,United States
Icahn School of Medicine at Mount Sinai,101,2018,United States
The University of Texas M. D. Anderson Cancer Center,101,2013,United States
VU University Amsterdam,101,2018,Netherlands
Radboud University Nijmegen,101,2012,Netherlands
University of Birmingham,101,2012,United Kingdom
University of Frankfurt,101,2012,Germany
University of Montreal,101,2012,Canada
Aix Marseille University,101,2016,France
Lund University,101,2018,Sweden
The University of Hong Kong,101,2017,"Hong Kong, China"
"University of California, Santa Cruz",101,2018,United States
University of Wageningen,101,2017,Netherlands
University of Warwick,101,2017,United Kingdom
VU University Amsterdam,101,2017,Netherlands
University of Sydney,102,2006,Australia
Mayo Medical School,102,2007,United States
Hokkaido University,102,2007,Japan
University of Alberta,102,2007,Canada
University of Amsterdam,102,2007,Netherlands
Ghent University,102,2006,Belgium
University of Alberta,102,2006,Canada
University of Geneva,102,2006,Switzerland
National University of Singapore,102,2007,Singapore
The University of Western Australia,102,2011,Australia
Technion-Israel Institute of Technology,102,2011,Israel
Seoul National University,102,2011,"Korea, Republic of"
University of Massachusetts Amherst,102,2011,United States
University of Paris Diderot (Paris 7),102,2011,France
Catholic University of Leuven,102,2007,Belgium
National Taiwan University,102,2011,"Taiwan, China"
Hokkaido University,102,2011,Japan
University of Sao Paulo,102,2011,Brazil
University of Virginia,102,2006,United States
