University,WorldRank,Country,Latitude,Longitude
University of Helsinki,57,Finland,0.0000,0.0000
Aalto University,301,Finland,0.0000,0.0000
University of Turku,301,Finland,0.0000,0.0000
University of Duisburg-Essen,301,Finland,0.0000,0.0000
University of Eastern Finland,401,Finland,0.0000,0.0000
Sorbonne University,36,France,0.0000,0.0000
University of Paris-Sud (Paris 11),42,France,0.0000,0.0000
Ecole Normale Superieure - Paris,64,France,0.0000,0.0000
University of Strasbourg,101,France,0.0000,0.0000
Aix Marseille University,101,France,0.0000,0.0000
University Paris Diderot - Paris 7,101,France,0.0000,0.0000
Université Grenoble Alpes,151,France,0.0000,0.0000
University of Paris Descartes (Paris 5),151,France,0.0000,0.0000
University of Lorraine,201,France,0.0000,0.0000
Claude Bernard University Lyon 1,201,France,0.0000,0.0000
University of Montpellier,201,France,0.0000,0.0000
Paul Sabatier University (Toulouse 3),201,France,0.0000,0.0000
University of Bordeaux,201,France,0.0000,0.0000
Paris Dauphine University (Paris 9),301,France,0.0000,0.0000
ESPCI ParisTech,301,France,0.0000,0.0000
Ecole Normale Superieure - Lyon,301,France,0.0000,0.0000
MINES ParisTech,401,France,0.0000,0.0000
Ecole Polytechnique,401,France,0.0000,0.0000
Heidelberg University,47,Germany,0.0000,0.0000
Technical University Munich,48,Germany,0.0000,0.0000
University of Munich,53,Germany,0.0000,0.0000
University of Goettingen,99,Germany,0.0000,0.0000
University of Frankfurt,101,Germany,0.0000,0.0000
University of Freiburg,101,Germany,0.0000,0.0000
University of Bonn,101,Germany,0.0000,0.0000
TU Dresden,151,Germany,0.0000,0.0000
University of Cologne,151,Germany,0.0000,0.0000
University of Muenster,151,Germany,0.0000,0.0000
University of Wuerzburg,151,Germany,0.0000,0.0000
University of Tuebingen,151,Germany,0.0000,0.0000
University of Leipzig,151,Germany,0.0000,0.0000
University of Hamburg,151,Germany,0.0000,0.0000
University of Mainz,201,Germany,0.0000,0.0000
University of Kiel,201,Germany,0.0000,0.0000
University of Ulm,201,Germany,0.0000,0.0000
RWTH Aachen University,201,Germany,0.0000,0.0000
University of Erlangen-Nuremberg,201,Germany,0.0000,0.0000
Karlsruhe Institute of Technology (KIT),201,Germany,0.0000,0.0000
University of Bochum,301,Germany,0.0000,0.0000
University of Duesseldorf,301,Germany,0.0000,0.0000
University of Duisburg-Essen,301,Germany,0.0000,0.0000
Hannover Medical School,301,Germany,0.0000,0.0000
University of Jena,301,Germany,0.0000,0.0000
Technical University of Berlin,301,Germany,0.0000,0.0000
University of Stuttgart,301,Germany,0.0000,0.0000
University of Marburg,301,Germany,0.0000,0.0000
University of Rostock,401,Germany,0.0000,0.0000
Technical University Darmstadt,401,Germany,0.0000,0.0000
Bielefeld University,401,Germany,0.0000,0.0000
University of Halle-Wittenberg,401,Germany,0.0000,0.0000
University of Bayreuth,401,Germany,0.0000,0.0000
University of Bremen,401,Germany,0.0000,0.0000
University of Hannover,401,Germany,0.0000,0.0000
University of Konstanz,401,Germany,0.0000,0.0000
National and Kapodistrian University of Athens,301,Greece,0.0000,0.0000
Aristotle University of Thessaloniki,401,Greece,0.0000,0.0000
National Technical University of Athens,401,Greece,0.0000,0.0000
The University of Hong Kong,101,"Hong Kong, China",0.0000,0.0000
The Chinese University of Hong Kong,151,"Hong Kong, China",0.0000,0.0000
The Hong Kong University of Science and Technology,201,"Hong Kong, China",0.0000,0.0000
The Hong Kong Polytechnic University,201,"Hong Kong, China",0.0000,0.0000
City University of Hong Kong,201,"Hong Kong, China",0.0000,0.0000
Indian Institute of Science,401,India,0.0000,0.0000
University of Tehran,301,"Iran, Islamic Rep. of",0.0000,0.0000
Amirkabir University of Technology,401,"Iran, Islamic Rep. of",0.0000,0.0000
Trinity College Dublin,151,Ireland,0.0000,0.0000
University College Dublin,301,Ireland,0.0000,0.0000
"National University of Ireland, Galway",401,Ireland,0.0000,0.0000
University College Cork,401,Ireland,0.0000,0.0000
Technion-Israel Institute of Technology,77,Israel,0.0000,0.0000
The Hebrew University of Jerusalem,95,Israel,0.0000,0.0000
Weizmann Institute of Science,101,Israel,0.0000,0.0000
Tel Aviv University,151,Israel,0.0000,0.0000
Bar-Ilan University,401,Israel,0.0000,0.0000
Ben-Gurion University of the Negev,401,Israel,0.0000,0.0000
University of Milan,151,Italy,0.0000,0.0000
University of Bologna,201,Italy,0.0000,0.0000
Sapienza University of Rome,201,Italy,0.0000,0.0000
University of Naples Federico II,201,Italy,0.0000,0.0000
University of Turin,201,Italy,0.0000,0.0000
Polytechnic Institute of Milan,201,Italy,0.0000,0.0000
University of Padua,201,Italy,0.0000,0.0000
University of Pisa,201,Italy,0.0000,0.0000
University of Pavia,301,Italy,0.0000,0.0000
University of Florence,301,Italy,0.0000,0.0000
Vita-Salute San Raffaele University,401,Italy,0.0000,0.0000
University of Ferrara,401,Italy,0.0000,0.0000
University of Milan - Bicocca,401,Italy,0.0000,0.0000
University of Palermo,401,Italy,0.0000,0.0000
University of Parma,401,Italy,0.0000,0.0000
The University of Tokyo,22,Japan,35.7127,139.7620
Kyoto University,35,Japan,35.0262,135.7808
Nagoya University,83,Japan,35.1539,136.9682
Tohoku University,101,Japan,38.2538,140.8741
Osaka University,101,Japan,34.8220,135.5245
Hokkaido University,151,Japan,43.0780,141.3400
Tokyo Institute of Technology,151,Japan,35.6051,139.6835
Kyushu University,201,Japan,33.6267,130.4250
University of Tsukuba,201,Japan,36.1068,140.1019
Keio University,301,Japan,35.6490,139.7429
Okayama University,301,Japan,34.6871,133.9222
Chiba University,301,Japan,35.6278,140.1031
Waseda University,401,Japan,35.7087,139.7196
Kobe University,401,Japan,34.7253,135.2346
The University of Tokushima,401,Japan,34.0699,134.5598
Tokyo University of Science,401,Japan,35.6998,139.7414
Seoul National University,101,"Korea, Republic of",0.0000,0.0000
Sungkyunkwan University,151,"Korea, Republic of",0.0000,0.0000
Korea Advanced Institute of Science and Technology,201,"Korea, Republic of",0.0000,0.0000
Korea University,201,"Korea, Republic of",0.0000,0.0000
Hanyang University,201,"Korea, Republic of",0.0000,0.0000
Yonsei University,301,"Korea, Republic of",0.0000,0.0000
Ulsan National Institute of Science and Technology,301,"Korea, Republic of",0.0000,0.0000
Kyung Hee University,301,"Korea, Republic of",0.0000,0.0000
Pohang University of Science and Technology,401,"Korea, Republic of",0.0000,0.0000
University of Ulsan,401,"Korea, Republic of",0.0000,0.0000
University of Malaya,301,Malaysia,0.0000,0.0000
"University of Science, Malaysia",401,Malaysia,0.0000,0.0000
National Autonomous University of Mexico,201,Mexico,0.0000,0.0000
Utrecht University,51,Netherlands,0.0000,0.0000
University of Groningen,66,Netherlands,0.0000,0.0000
Leiden University,74,Netherlands,0.0000,0.0000
Erasmus University Rotterdam,79,Netherlands,0.0000,0.0000
University of Wageningen,101,Netherlands,0.0000,0.0000
University of Amsterdam,101,Netherlands,0.0000,0.0000
Radboud University Nijmegen,101,Netherlands,0.0000,0.0000
VU University Amsterdam,101,Netherlands,0.0000,0.0000
Delft University of Technology,151,Netherlands,0.0000,0.0000
Maastricht University,201,Netherlands,0.0000,0.0000
Eindhoven University of Technology,301,Netherlands,0.0000,0.0000
The University of Auckland,201,New Zealand,0.0000,0.0000
University of Otago,301,New Zealand,0.0000,0.0000
Victoria University of Wellington,301,New Zealand,0.0000,0.0000
University of Canterbury,401,New Zealand,0.0000,0.0000
University of Oslo,62,Norway,0.0000,0.0000
Norwegian University of Science and Technology - NTNU,101,Norway,0.0000,0.0000
University of Bergen,201,Norway,0.0000,0.0000
University of Warsaw,301,Poland,0.0000,0.0000
Jagiellonian University,401,Poland,0.0000,0.0000
University of Lisbon,151,Portugal,0.0000,0.0000
University of Porto,301,Portugal,0.0000,0.0000
University of Aveiro,401,Portugal,0.0000,0.0000
University of Minho,401,Portugal,0.0000,0.0000
Moscow State University,86,Russian Federation,0.0000,0.0000
Saint Petersburg State University,301,Russian Federation,0.0000,0.0000
Novosibirsk State University,401,Russian Federation,0.0000,0.0000
Moscow Institute of Physics and Technology,401,Russian Federation,0.0000,0.0000
King Saud University,101,Saudi Arabia,0.0000,0.0000
King Abdulaziz University,101,Saudi Arabia,0.0000,0.0000
King Abdullah University of Science and Technology,201,Saudi Arabia,0.0000,0.0000
King Fahd University of Petroleum & Minerals,301,Saudi Arabia,0.0000,0.0000
University of Belgrade,301,Serbia,0.0000,0.0000
National University of Singapore,85,Singapore,0.0000,0.0000
